-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
turing_fp16_s1688gemm_fp16_256x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      27.826ms         0.99%      27.826ms     421.603us            66  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us      26.705ms         0.95%      26.705ms      28.901us           924  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.27%      12.454ms         0.36%      16.626ms      44.454us      21.147ms         0.75%      21.147ms      56.543us           374  
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us      19.820ms         0.71%      19.820ms      22.472us           882  
void vllm::reshape_and_cache_flash_kernel<unsigned s...         0.00%       0.000us         0.00%       0.000us       0.000us      16.780ms         0.60%      16.780ms      18.160us           924  
                                     triton_poi_fused_3         0.21%       9.529ms         0.29%      13.142ms      36.813us      15.947ms         0.57%      15.947ms      44.668us           357  
turing_fp16_s1688gemm_fp16_128x256_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      15.079ms         0.54%      15.079ms     342.702us            44  
                  _C_cache_ops::reshape_and_cache_flash         0.08%       3.821ms         0.22%      10.316ms      26.050us      13.645ms         0.49%      13.645ms      34.457us           396  
## Call CompiledFxGraph fhvkljp45cbribkdgkkbgcgldpuj...         0.00%       0.000us         0.00%       0.000us       0.000us      12.352ms         0.44%      12.352ms     726.616us            17  
                                             aten::div_         0.02%       1.034ms         0.04%       1.885ms      22.436us      11.405ms         0.41%      11.405ms     135.777us            84  
void flashinfer::PersistentVariableLengthMergeStates...         0.00%       0.000us         0.00%       0.000us       0.000us       9.734ms         0.35%       9.734ms      18.436us           528  
                                         aten::_softmax         0.02%     692.869us         0.02%       1.138ms      27.085us       9.352ms         0.33%       9.352ms     222.672us            42  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       9.352ms         0.33%       9.352ms     222.672us            42  
                                  cudaStreamIsCapturing         0.01%     372.975us         0.01%     372.975us       1.207us       7.422ms         0.26%       7.422ms      24.019us           309  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.549ms         0.23%       6.549ms     155.935us            42  
                                            aten::copy_         0.24%      10.960ms        37.48%        1.722s       1.781ms       6.375ms         0.23%       7.148ms       7.391us           967  
                                        cudaEventRecord         0.01%     256.024us         0.01%     256.024us       3.048us       4.859ms         0.17%       4.859ms      57.847us            84  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.856ms         0.17%       4.856ms     115.619us            42  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.628ms         0.16%       4.628ms     110.181us            42  
                                           aten::argmax         0.03%       1.165ms         0.04%       1.654ms      27.570us       3.576ms         0.13%       3.576ms      59.603us            60  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.576ms         0.13%       3.576ms      85.147us            42  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.459ms         0.12%       3.459ms       1.429us          2420  
